blind_id,orig_n,task,run,run_id,t,w,card_orig,card_blind,stored_gold,stored_binary,mech_quiet_share,mech_stagnant,sha256_blind_card
B01,11,install-windows-3.11,mUYmJ4a,install-windows-3.11__mUYmJ4a,12,10,research/data/annotations/tb2/cards_dense/d_tb2_install-windows-3.11__mUYmJ4a_12.md,research/docs/human_check_blind/cards/B01.md,PRODUCTIVE,0.0,0.19999999999999996,0,c8d78f827c8a075a6a70b151bf4b7ce16f92817cd65a687beaae996b67a6f9d7
B02,4,crack-7z-hash,Mp364LH,crack-7z-hash__Mp364LH,27,10,research/data/annotations/tb2/cards_dense/d_tb2_crack-7z-hash__Mp364LH_27.md,research/docs/human_check_blind/cards/B02.md,STAGNANT,1.0,0.0,0,64aaa41a02cc05148ee970d1ce746afc3ca3b962881659eb222d0fd62fb05f4e
B03,5,extract-moves-from-video,vRcGj7U,extract-moves-from-video__vRcGj7U,45,10,research/data/annotations/tb2/cards_dense/d_tb2_extract-moves-from-video__vRcGj7U_45.md,research/docs/human_check_blind/cards/B03.md,STAGNANT,1.0,0.8,1,001fc555f5fe22d2bed964c828edd62a7ab5d6d222c1b40370271427b5b5cf61
B04,2,cobol-modernization,z8rbv6p,cobol-modernization__z8rbv6p,39,10,research/data/annotations/tb2/cards_dense/d_tb2_cobol-modernization__z8rbv6p_39.md,research/docs/human_check_blind/cards/B04.md,PRODUCTIVE,0.0,0.30000000000000004,0,e8e5919edf5ffe6829bc8d80aa8b81d7ab4bff15bf8286038ea2ef645ac6fd53
B05,12,make-doom-for-mips,DU5GBNE,make-doom-for-mips__DU5GBNE,24,10,research/data/annotations/tb2/cards_dense/d_tb2_make-doom-for-mips__DU5GBNE_24.md,research/docs/human_check_blind/cards/B05.md,PRODUCTIVE,0.0,0.09999999999999998,0,02f6d159c186907e686686313d901e339211c033711edea6cd0adbc92161af01
B06,3,compile-compcert,qeLnFSj,compile-compcert__qeLnFSj,60,10,research/data/annotations/tb2/cards/tb2_compile-compcert__qeLnFSj_60.md,research/docs/human_check_blind/cards/B06.md,STAGNANT,1.0,0.5,0,75bcb22d1777c185ccf3d08b3425055d4281f64b775f1f5c88e4d1ada3310ffa
B07,9,git-leak-recovery,3MYVn6Q,git-leak-recovery__3MYVn6Q,39,10,research/data/annotations/tb2/cards_dense/d_tb2_git-leak-recovery__3MYVn6Q_39.md,research/docs/human_check_blind/cards/B07.md,PRODUCTIVE,0.0,0.8,1,9dcff217abbb6a47e9b24e97971b37d212685986cc1a6fc1267eeb4c84a11cd3
B08,1,build-pov-ray,oboi8x8,build-pov-ray__oboi8x8,24,10,research/data/annotations/tb2/cards_dense/d_tb2_build-pov-ray__oboi8x8_24.md,research/docs/human_check_blind/cards/B08.md,PRODUCTIVE,0.0,0.0,0,3b96236422eb22fca5ff1e0e8a713159e6b9935a5f4047262fce21b60652be0b
B09,6,feal-linear-cryptanalysis,L3Ts8kn,feal-linear-cryptanalysis__L3Ts8kn,12,10,research/data/annotations/tb2/cards_dense/d_tb2_feal-linear-cryptanalysis__L3Ts8kn_12.md,research/docs/human_check_blind/cards/B09.md,STAGNANT,1.0,0.30000000000000004,0,c98950b78408eb1ef0f8262c941e4b2449af9f6779dd8533d6efd46c2f6e7905
B10,8,financial-document-processor,ygK3UcB,financial-document-processor__ygK3UcB,57,10,research/data/annotations/tb2/cards/tb2_financial-document-processor__ygK3UcB_57.md,research/docs/human_check_blind/cards/B10.md,STAGNANT,1.0,1.0,1,5f6fad370b2419f68ac9b6b89f37cdab1992cf84906d230815e0c144f2b975a1
B11,10,install-windows-3.11,2UtJ22k,install-windows-3.11__2UtJ22k,9,10,research/data/annotations/tb2/cards_dense/d_tb2_install-windows-3.11__2UtJ22k_9.md,research/docs/human_check_blind/cards/B11.md,PRODUCTIVE,0.0,0.19999999999999996,0,6f0e03f8329283e04393760d408f8554227c2e1d7871dbdc0775350d70f43f4d
B12,7,feal-linear-cryptanalysis,jbbLGgC,feal-linear-cryptanalysis__jbbLGgC,27,10,research/data/annotations/tb2/cards_dense/d_tb2_feal-linear-cryptanalysis__jbbLGgC_27.md,research/docs/human_check_blind/cards/B12.md,STAGNANT,1.0,1.0,1,341bf5676fe3737fd8b9250621c6ab0d2343d8bd849c574ab7807688e19b43d4
