traj_id,task,agent,model,reward,n_steps,placeholder_frac,max_msg_repeat_frac,no_tool_frac,exclude
install-windows-3.11__gqhK9Vk,install-windows-3.11,terminus-2,gpt-5@openai,0,3,0.667,0.333,0.333,True
build-pmars__Crqute5,build-pmars,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,1,24,0.417,0.042,0.042,True
compile-compcert__7AFEiz9,compile-compcert,mini-swe-agent,openai/gpt-oss-20b@together_ai,0,8,0.0,0.125,0.25,True
gcode-to-text__EapyoU3,gcode-to-text,terminus-2,claude-sonnet-4-5-20250929@anthropic,0,30,0.433,0.033,0.033,False
build-cython-ext__z8DCiWw,build-cython-ext,openhands,gemini-2.5-pro@gemini,0,103,0.146,0.071,0.019,False
cancel-async-tasks__YndrKEB,cancel-async-tasks,mini-swe-agent,gemini-2.5-pro@gemini,1,14,0.214,0.071,0.071,True
install-windows-3.11__ixgcHeP,install-windows-3.11,openhands,claude-opus-4-5-20251101@anthropic,0,41,0.049,0.171,0.024,False
circuit-fibsqrt__xj3PRoD,circuit-fibsqrt,terminus-2,gemini-2.5-pro@gemini,0,65,0.092,0.708,0.015,True
build-pmars__jPmgQNZ,build-pmars,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,1,42,0.31,0.024,0.048,False
cobol-modernization__56Nzo2r,cobol-modernization,mini-swe-agent,gemini-2.5-pro@gemini,0,26,0.115,0.038,0.038,True
constraints-scheduling__mceyEzw,constraints-scheduling,openhands,gemini-2.5-flash@gemini,1,26,0.115,0.16,0.269,True
break-filter-js-from-html__XnJHKK8,break-filter-js-from-html,codex,gpt-5-mini@openai,0,12,0.083,0.083,0.417,True
circuit-fibsqrt__EG6DuVj,circuit-fibsqrt,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,255,0.0,0.077,0.071,False
count-dataset-tokens__76MoRLR,count-dataset-tokens,openhands,claude-opus-4-5-20251101@anthropic,0,17,0.235,0.118,0.059,True
largest-eigenval__DYiPhoz,largest-eigenval,claude-code,claude-sonnet-4-5-20250929@anthropic,1,44,0.318,0.045,0.523,False
headless-terminal__MjN4mtm,headless-terminal,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,68,0.029,0.098,0.015,False
count-dataset-tokens__WHqtphB,count-dataset-tokens,gemini-cli,gemini-2.5-pro@gemini,0,16,0.312,0.067,0.125,True
dna-insert__wafHj4A,dna-insert,claude-code,claude-opus-4-5-20251101@anthropic,0,26,0.269,0.077,0.423,True
feal-differential-cryptanalysis__tGRzTMn,feal-differential-cryptanalysis,claude-code,claude-opus-4-1-20250805@anthropic,0,84,0.31,0.024,0.429,False
fix-git__7uDgcLa,fix-git,codex,gpt-5@openai,1,14,0.071,0.071,0.286,True
mailman__o9oKWY9,mailman,mini-swe-agent,grok-4-0709@xai,0,62,0.21,0.016,0.016,False
constraints-scheduling__qJPC6bA,constraints-scheduling,claude-code,minimax-m2.1@minimax,0,11,0.273,0.182,0.636,True
build-cython-ext__JrNsKeV,build-cython-ext,terminus-2,openai/gpt-oss-20b@together_ai,0,158,0.006,0.027,0.994,False
distribution-search__rSY5vzw,distribution-search,claude-code,claude-opus-4-6@anthropic,1,20,0.45,0.05,0.4,True
log-summary-date-ranges__duDoiou,log-summary-date-ranges,terminus-3-3,gemini-3.1-pro-preview@Google,1,7,0.429,1.0,0.143,True
code-from-image__mo9A5Mt,code-from-image,openhands,gpt-5@openai,1,24,0.042,0.083,0.125,True
fix-ocaml-gc__kcxNk9D,fix-ocaml-gc,mini-swe-agent,gpt-5-codex@openai,1,46,0.63,0.022,0.022,True
custom-memory-heap-crash__yhJ7ZfU,custom-memory-heap-crash,claude-code,claude-haiku-4-5-20251001@anthropic,1,67,0.343,0.03,0.493,False
make-doom-for-mips__YWJGKe2,make-doom-for-mips,codex,gpt-5-nano@openai,0,46,0.348,0.022,0.13,False
fix-code-vulnerability__fMjZzC8,fix-code-vulnerability,terminus-2,minimax-m2.1@openai,1,61,0.508,0.016,0.066,True
db-wal-recovery__VF5RNmn,db-wal-recovery,deepagent-harbor,gpt-5.2-codex@openai,1,16,0.0,0.333,0.188,True
fix-git__iLRSu3p,fix-git,gemini-cli,gemini-2.5-pro@gemini,0,36,0.111,0.028,0.028,False
gcode-to-text__tJoHgXT,gcode-to-text,terminus-3-3,gemini-3.1-pro-preview@Google,1,29,0.448,1.0,0.034,True
compile-compcert__kV5DbRJ,compile-compcert,codex,gpt-5-codex@openai,1,56,0.268,0.018,0.054,False
fix-code-vulnerability__NJAf7Lf,fix-code-vulnerability,gemini-cli,gemini-2.5-flash@gemini,1,24,0.458,0.5,0.083,True
make-doom-for-mips__J2Sqoey,make-doom-for-mips,claude-code,claude-sonnet-4-5-20250929@anthropic,0,162,0.309,0.019,0.364,False
adaptive-rejection-sampler__5xWUWQH,adaptive-rejection-sampler,terminus-3-3,claude-opus-4-6@anthropic,0,34,0.412,1.0,0.029,True
hf-model-inference__p6dfxjK,hf-model-inference,judy,claude-opus-4.6@anthropic,1,31,0.032,0.036,0.323,False
git-multibranch__hHaNYbQ,git-multibranch,deepagent-harbor,gpt-5.2-codex@openai,1,46,0.065,0.333,0.065,False
crack-7z-hash__Rw9MD9q,crack-7z-hash,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,162,0.068,0.006,0.006,False
git-multibranch__tjksakB,git-multibranch,openhands,claude-haiku-4-5-20251001@anthropic,1,159,0.019,0.052,0.151,False
fix-ocaml-gc__VPdH2s6,fix-ocaml-gc,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,1,79,0.329,0.013,0.013,False
dna-assembly__zirszzo,dna-assembly,codex,gpt-5-mini@openai,0,60,0.117,0.017,0.083,False
filter-js-from-html__dzKF8mK,filter-js-from-html,terminus-3-3,gemini-3.1-pro-preview@Google,0,18,0.611,1.0,0.056,True
fix-ocaml-gc__HAmpqBK,fix-ocaml-gc,deepagent-harbor,gpt-5.2-codex@openai,1,62,0.355,0.5,0.032,True
feal-linear-cryptanalysis__8aDpqbc,feal-linear-cryptanalysis,gemini-cli,gemini-2.5-pro@gemini,0,104,0.221,0.087,0.019,False
largest-eigenval__UWMN7oK,largest-eigenval,gemini-cli,gemini-2.5-pro@gemini,1,39,0.282,0.5,0.051,True
fix-ocaml-gc__BXWvDK2,fix-ocaml-gc,claude-code,claude-opus-4-1-20250805@anthropic,1,180,0.389,0.011,0.444,False
dna-insert__R4bUzVH,dna-insert,deepagent-harbor,gpt-5.2-codex@openai,0,37,0.162,0.333,0.081,False
cancel-async-tasks__jV7xbUx,cancel-async-tasks,deepagent-harbor,gpt-5.2-codex@openai,0,10,0.1,0.333,0.3,True
filter-js-from-html__KYPc36C,filter-js-from-html,judy,claude-opus-4.6@anthropic,0,58,0.155,0.026,0.172,False
compile-compcert__Hs4n7od,compile-compcert,terminus-3-3,gemini-3.1-pro-preview@Google,1,118,0.169,1.0,0.008,True
install-windows-3.11__mWXQ4Ri,install-windows-3.11,terminus-3-3,claude-opus-4-6@anthropic,0,90,0.2,1.0,0.011,True
adaptive-rejection-sampler__nJ7ycqL,adaptive-rejection-sampler,judy,claude-opus-4.6@anthropic,0,12,0.083,0.125,0.333,True
compile-compcert__Zjfb57M,compile-compcert,codex,gpt-5-codex@openai,1,89,0.303,0.011,0.034,False
largest-eigenval__gHbxNjA,largest-eigenval,judy,claude-opus-4.6@anthropic,1,68,0.059,0.029,0.147,False
crack-7z-hash__DfHyeLU,crack-7z-hash,mini-swe-agent,grok-code-fast-1@xai,1,218,0.028,0.005,0.005,False
build-pov-ray__F28jSW9,build-pov-ray,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,1,294,0.095,0.01,0.007,False
install-windows-3.11__mUYmJ4a,install-windows-3.11,deepagent-harbor,gpt-5.2-codex@openai,0,146,0.13,0.333,0.021,False
compile-compcert__Qn7SEVv,compile-compcert,terminus-3-3,claude-opus-4-6@anthropic,1,198,0.116,1.0,0.005,True
kv-store-grpc__LBpLXD6,kv-store-grpc,judy,claude-opus-4.6@anthropic,1,24,0.0,0.05,0.333,True
compile-compcert__9B2GBdW,compile-compcert,terminus-3-3,claude-opus-4-6@anthropic,0,189,0.095,1.0,0.005,True
caffe-cifar-10__DcJmBRH,caffe-cifar-10,gemini-cli,gemini-2.5-flash@gemini,1,72,0.306,1.0,0.014,True
install-windows-3.11__Tm7miaq,install-windows-3.11,codex,gpt-5-codex@openai,0,244,0.119,0.004,0.012,False
install-windows-3.11__TaYJbJv,install-windows-3.11,deepagent-harbor,gpt-5.2-codex@openai,0,273,0.095,0.333,0.011,False
llm-inference-batching-scheduler__T83yo58,llm-inference-batching-scheduler,gemini-cli,gemini-2.5-flash@gemini,0,158,0.323,1.0,0.006,True
make-doom-for-mips__tHguAnp,make-doom-for-mips,judy,claude-opus-4.6@anthropic,0,78,0.128,0.031,0.09,False
kv-store-grpc__QGZvqY5,kv-store-grpc,terminus-2,gemini-2.5-pro@gemini,0,7,0.286,0.143,0.143,True
llm-inference-batching-scheduler__JerzDQQ,llm-inference-batching-scheduler,terminus-2,claude-opus-4-6@anthropic,1,14,0.714,0.071,0.071,True
llm-inference-batching-scheduler__zPggxLZ,llm-inference-batching-scheduler,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,6,0.0,0.167,0.167,True
largest-eigenval__rkmEcY3,largest-eigenval,terminus-2,claude-haiku-4-5-20251001@anthropic,0,30,0.2,0.034,0.067,False
feal-differential-cryptanalysis__wBdK3vp,feal-differential-cryptanalysis,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,128,0.227,0.306,0.023,False
constraints-scheduling__XSJi9Eh,constraints-scheduling,mini-swe-agent,gpt-5-mini@openai,1,3,0.0,0.333,0.333,True
mailman__tQhp5VL,mailman,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,36,0.167,0.028,0.028,False
circuit-fibsqrt__2tsnRcz,circuit-fibsqrt,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,0,95,0.389,0.022,0.042,False
build-pmars__eGfWmXK,build-pmars,terminus-2,claude-opus-4-5-20251101@anthropic,1,27,0.481,0.037,0.0,True
hf-model-inference__n8nrZTb,hf-model-inference,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,31,0.194,0.032,0.032,False
cobol-modernization__jZSpkR6,cobol-modernization,openhands,gpt-5-nano@openai,1,57,0.018,0.091,0.193,False
cobol-modernization__ZgxrAi7,cobol-modernization,codex,gpt-5-nano@openai,0,15,0.067,0.067,0.4,True
circuit-fibsqrt__CYPbCwQ,circuit-fibsqrt,openhands,claude-opus-4-5-20251101@anthropic,0,245,0.004,0.22,0.012,False
chess-best-move__ejvHJQw,chess-best-move,openhands,claude-opus-4-5-20251101@anthropic,0,6,0.0,0.167,0.167,True
mailman__B9EW5q3,mailman,claude-code,minimax-m2.1@minimax,1,42,0.357,0.048,0.167,False
kv-store-grpc__Wers84v,kv-store-grpc,openhands,claude-opus-4-1-20250805@anthropic,1,66,0.045,0.111,0.015,False
bn-fit-modify__ifn5F45,bn-fit-modify,gemini-cli,gemini-2.5-pro@gemini,0,19,0.263,0.5,0.105,True
