card_id,traj_id,task,agent,model,reward,n_steps,t,w,kind,n_reads,votes,gold,binary,unanimous,n_readers_total,detail,channels,has_round2,round2_label,reason
d_tb2_break-filter-js-from-html__J2d7BGR_11,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,11,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E/I,0,,steps 5-8 create and test a meta-refresh payload and rule it out; steps 3-4 confirm chromium and chromedriver tooling
d_tb2_break-filter-js-from-html__J2d7BGR_15,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,15,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E/V,0,,Steps 7-15 test meta-refresh and data-URI bypasses; steps 8/14 verify no alert; step 15 rejects the data-URI route
d_tb2_break-filter-js-from-html__J2d7BGR_21,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,21,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E,0,,Steps 18-20 showed meta refresh to a local file navigates but a data: URL does not; hypotheses narrowed inside the window
d_tb2_break-filter-js-from-html__J2d7BGR_27,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,27,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E,0,,Steps 18-23 refine refresh redirect plus data URI then test svg_img; steps 25-27 test HTML-entity attribute vector.
d_tb2_break-filter-js-from-html__J2d7BGR_33,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,33,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E,0,,Steps 25-33 test distinct XSS vectors (entity-encoded attribute; split tag); each filter output and no-alert result rules out a vector family.
d_tb2_break-filter-js-from-html__J2d7BGR_39,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,39,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E,0,,Steps 32-38 ruled out payload families and mapped filter mangling; the null-byte probe at 38 revealed the substring check; search space narrowed.
d_tb2_break-filter-js-from-html__J2d7BGR_45,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,45,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E,0,,Steps 36-44 test distinct payload classes and 37-38 probe filter null-byte handling; each rejection narrows the remaining bypass space.
d_tb2_break-filter-js-from-html__J2d7BGR_51,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,51,10,dense,2,STAGNANT|PRODUCTIVE,UNCERTAIN,,0,2,repeat_verify,NONE,0,,"steps 44/47/50 each end ""no alert"" for further payloads; window 42-51 added no new information or durable artefact"
d_tb2_break-filter-js-from-html__J2d7BGR_56,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,56,10,dense,2,PRODUCTIVE|PRODUCTIVE,PRODUCTIVE,0,1,2,,E,0,,Steps 48-53 rule out distinct XSS vectors; steps 54-55 reveal null-byte iframe reconstruction; the candidate space narrows each time.
d_tb2_break-filter-js-from-html__J2d7BGR_62,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,62,10,dense,2,STAGNANT|PRODUCTIVE,UNCERTAIN,,0,2,no_new_information,NONE,0,,Steps 53;58;61 filter-plus-selenium probes all return no alert as in 43-52; only ephemeral parser detail at 54-55; no durable payload or verification movement.
