card_id,label,confidence,boundary,channels,detail,reason
d_tb2_dna-assembly__o5NzHz7_22,PRODUCTIVE,high,false,E,,"New oligotm output at 15; egfp/flag/snap junction positions resolved at 16-22"
d_tb2_dna-assembly__o5NzHz7_23,PRODUCTIVE,high,false,E,,"New snap junction and match data at 23; window ends a longer productive stretch"
d_tb2_dna-assembly__o5NzHz7_25,PRODUCTIVE,high,false,E,,"Each step 16-25 adds new positional info; 25 gives prefix/suffix lengths"
d_tb2_dna-assembly__o5NzHz7_26,PRODUCTIVE,high,false,E,,"Steps 17-26 each surface new segment/junction facts for the assembly layout"
d_tb2_dna-assembly__o5NzHz7_29,PRODUCTIVE,high,false,E,,"Steps 20-29 yield new overlap and junction findings for all four fragments"
d_tb2_dna-assembly__o5NzHz7_31,PRODUCTIVE,high,false,E,,"Steps 22-31 resolve junctions; 30 checks BsaI sites in all sequences"
d_tb2_dna-assembly__o5NzHz7_32,PRODUCTIVE,high,false,E,,"30 confirms no internal BsaI; 32 returns all eight primer annealing Tm values"
d_tb2_dna-assembly__o5NzHz7_33,PRODUCTIVE,high,false,E,,"24-32 build the fragment map; 32 yields primer sequences and Tm values"
d_tb2_dna-assembly__o5NzHz7_35,PRODUCTIVE,high,false,E/I,,"32 gives primer Tm table; 34 checks pairs; 35 writes primers.fasta"
d_tb2_dna-assembly__o5NzHz7_36,PRODUCTIVE,high,false,E/I,,"34 compiles Tm and lengths; 35 creates primers.fasta; 36 verifies its content"
d_tb2_dna-assembly__o5NzHz7_39,PRODUCTIVE,high,true,E/I,,"33-37 localize junctions; 35 creates primers.fasta; 38-39 web and which checks"
d_tb2_dna-assembly__o5NzHz7_41,PRODUCTIVE,high,true,E/I,,"35 writes primers.fasta; 36 reads it; 41 computes PCR product and cut positions"
d_tb2_dna-assembly__o5NzHz7_43,PRODUCTIVE,high,true,E/I,,"35 writes primers.fasta; 41 verifies PCR cut sites; 42-43 add no new info"
d_tb2_dna-assembly__o5NzHz7_45,PRODUCTIVE,high,true,E,,"36 verifies the created fasta; 41 checks PCR cuts; 37-45 add much else nothing"
d_tb2_dna-assembly__o5NzHz7_49,PRODUCTIVE,high,true,E,,"41 computes PCR cut sites; 46-50 map fragment overhangs; 42-45 only which failures"
d_tb2_dna-assembly__o5NzHz7_51,PRODUCTIVE,medium,true,E,,"46-50 give new overhang mapping for the fragments; 42-45 are which failures"
d_tb2_dna-assembly__o5NzHz7_53,PRODUCTIVE,high,true,E,,"46-53 map overhangs and check Tm pairs; 44-45 add nothing; 48 is a syntax error"
d_tb2_dna-assembly__o5NzHz7_54,PRODUCTIVE,high,true,E,,"46-53 derive overhangs and Tm deltas; 45 and 48 are syntax failures; 54 builds the map"
d_tb2_dna-assembly__o5NzHz7_55,PRODUCTIVE,high,true,E,,"46-53 resolve fragment overhangs and Tm deltas; 48 is a perl syntax failure"
d_tb2_dna-assembly__o5NzHz7_59,PRODUCTIVE,medium,true,E/I,,"50-56 new overhang data and a rewritten primer set; 58 repeats the file-exists error"
d_tb2_dna-assembly__o5NzHz7_61,PRODUCTIVE,high,true,E/I,,"54-56 derive overhangs; 59-60 replace primers.fasta; 61 verifies the new content"
d_tb2_dna-assembly__o5NzHz7_63,PRODUCTIVE,high,true,E/I,,"54-56 build the final primer set; 60 writes primers.fasta; 61-63 verify and inspect"
d_tb2_dna-assembly__o5NzHz7_65,PRODUCTIVE,high,true,E/I,,"56-61 write and verify primers.fasta; 65 gives new annealing lengths and Tm deltas"
d_tb2_dna-assembly__o5NzHz7_9,PRODUCTIVE,high,false,E,,"1-9 rule out absent tools and identify perl as the available runtime"
d_tb2_dna-assembly__Xbp9Bz3_11,PRODUCTIVE,high,false,E,,"2-9 establish the toolchain; 10-11 give sequence lengths and the egfp start"
d_tb2_dna-assembly__Xbp9Bz3_12,PRODUCTIVE,high,false,E,,"10-12 measure sequences and locate a 3-mismatch egfp segment at 210"
d_tb2_dna-assembly__Xbp9Bz3_13,PRODUCTIVE,high,false,E,,"10-13 pin the egfp and flag junctions; 4-5 only re-confirm missing pythons"
d_tb2_dna-assembly__Xbp9Bz3_15,PRODUCTIVE,high,false,E,,"10-15 find the egfp start and 190-210 input region; 6-9 install tooling"
d_tb2_dna-assembly__Xbp9Bz3_16,PRODUCTIVE,high,false,E,,"10-15 locate egfp start and flag junction; 7-9 install tooling; 16 emits nothing"
d_tb2_dna-assembly__Xbp9Bz3_17,PRODUCTIVE,high,false,E,,"10-17 map egfp start; flag junction; snap offset 1008; 8-9 install tooling"
d_tb2_distribution-search__ZJDezEN_12,PRODUCTIVE,medium,false,E,,"5 pwd shows empty /app; 3;6;8-9 reveal tool schema constraints; 12 runs the script"
d_tb2_distribution-search__ZJDezEN_16,STAGNANT,low,false,none,no_tool_text_loop,"8 repeats the known edit error; 12-16 repeat schema and missing-file messages"
d_tb2_distribution-search__ZJDezEN_22,STAGNANT,medium,false,none,no_tool_text_loop,"13 repeats the missing-file fact; 15-22 retry identical failing editor calls"
d_tb2_distribution-search__ZJDezEN_26,PRODUCTIVE,high,false,E/I,,"23 creates find_distribution.py; 25 gives a new scipy-missing signature"
d_tb2_distribution-search__ZJDezEN_31,PRODUCTIVE,high,false,E/I,,"23 creates find_distribution.py; 25 and 29 add new scipy import evidence"
d_tb2_distribution-search__ZJDezEN_36,STAGNANT,low,false,none,no_tool_text_loop,"27 and 29 repeat scipy findings; 30-37 loop the same tool-schema errors"
d_tb2_distribution-search__ZJDezEN_42,PRODUCTIVE,high,false,E,,"36 exposes python sys.path; 42 installs scipy into the venv; 39 repeats a known error"
d_tb2_distribution-search__ZJDezEN_47,PRODUCTIVE,high,false,E,,"39 confirms scipy absent; 42 installs it; 44 shows the script runs and reports KL values"
d_tb2_distribution-search__ZJDezEN_53,STAGNANT,medium,true,none,no_tool_text_loop,"44 runs and 45-46 stop the script; 47-53 repeat known editor schema errors"
d_tb2_distribution-search__ZJDezEN_57,STAGNANT,high,false,none,no_tool_text_loop,"48-57 are ten no-tool schema-error messages repeating known constraints"
d_tb2_git-leak-recovery__3MYVn6Q_10,PRODUCTIVE,high,false,E/I,,"4 reflog exposes the dangling commit; 6 finds the secret; 8 writes secret.txt"
d_tb2_git-leak-recovery__3MYVn6Q_14,PRODUCTIVE,high,false,E/I,,"6 locates the secret via checkout; 8 writes secret.txt; 12-14 rule out pip and pip3"
d_tb2_git-leak-recovery__3MYVn6Q_18,PRODUCTIVE,medium,true,E,,"12-16 rule out pip; pip3; python3; 17-18 start locating a usable python"
d_tb2_git-leak-recovery__3MYVn6Q_22,PRODUCTIVE,medium,true,E,,"14-16 rule out pip; pip3; python3; 17-22 search for the available python"
