section,claim,value,artifact,note
measurement validity,on_target (own patch) solved -- frozen (shards 0-3),0.5936,wrongness.json,
measurement validity,on_target (own patch) failed -- frozen (shards 0-3),0.6701,wrongness.json,
measurement validity,on_target (gold) solved -- frozen (shards 0-3),0.4771,wrongness.json,
measurement validity,on_target (gold) failed -- frozen (shards 0-3),0.4069,wrongness.json,
measurement validity,"ever reached gold, solved -- frozen (shards 0-3)",0.9819,wrongness.json,
measurement validity,"ever reached gold, failed -- frozen (shards 0-3)",0.6705,wrongness.json,
failure modes,WRONG-FIX share of failures -- frozen (shards 0-3),0.6705,wrongness.json,
failure modes,LOST share of failures -- frozen (shards 0-3),0.3295,wrongness.json,
measurement validity,within-instance paired p -- frozen (shards 0-3),0.007006189656934297,wrongness.json,
measurement validity,on_target (own patch) solved -- held-out A (4-7),0.5932,wrongness.json,
measurement validity,on_target (own patch) failed -- held-out A (4-7),0.6769,wrongness.json,
measurement validity,on_target (gold) solved -- held-out A (4-7),0.4923,wrongness.json,
measurement validity,on_target (gold) failed -- held-out A (4-7),0.4209,wrongness.json,
measurement validity,"ever reached gold, solved -- held-out A (4-7)",0.9642,wrongness.json,
measurement validity,"ever reached gold, failed -- held-out A (4-7)",0.6895,wrongness.json,
failure modes,WRONG-FIX share of failures -- held-out A (4-7),0.6895,wrongness.json,
failure modes,LOST share of failures -- held-out A (4-7),0.3105,wrongness.json,
measurement validity,within-instance paired p -- held-out A (4-7),0.0036155433506754714,wrongness.json,
measurement validity,on_target (own patch) solved -- held-out B (8-11),0.6139,wrongness.json,
measurement validity,on_target (own patch) failed -- held-out B (8-11),0.6857,wrongness.json,
measurement validity,on_target (gold) solved -- held-out B (8-11),0.5118,wrongness.json,
measurement validity,on_target (gold) failed -- held-out B (8-11),0.4152,wrongness.json,
measurement validity,"ever reached gold, solved -- held-out B (8-11)",0.976,wrongness.json,
measurement validity,"ever reached gold, failed -- held-out B (8-11)",0.6638,wrongness.json,
failure modes,WRONG-FIX share of failures -- held-out B (8-11),0.6638,wrongness.json,
failure modes,LOST share of failures -- held-out B (8-11),0.3362,wrongness.json,
measurement validity,within-instance paired p -- held-out B (8-11),2.795047540938106e-05,wrongness.json,
mechanism tests,confident_wrongness_supported,False,metric_artifact.json,
mechanism tests,self_referential_metric_inverts_sign,True,metric_artifact.json,
mechanism tests,independent_metric_inverts_back,True,metric_artifact.json,
mechanism tests,composition_share_of_pooled_gap,0.7169,metric_artifact.json,
router transfer,y_fail: within_own_rates_mean,0.7169,route_modes_transfer.json,
router transfer,y_fail: cross_own_rates_mean,0.7145,route_modes_transfer.json,
router transfer,y_fail: cross_own_rates_min,0.6752,route_modes_transfer.json,
router transfer,y_fail: cross_position_mean,0.6718,route_modes_transfer.json,
router transfer,y_fail: cross_agentstop_mean,0.5589,route_modes_transfer.json,
router transfer,y_fail: own_minus_position,0.0427,route_modes_transfer.json,
router transfer,y_fail: own_minus_agentstop,0.1556,route_modes_transfer.json,
router transfer,y_fail: n_cross_cells,24,route_modes_transfer.json,
router transfer,y_wrong_fix: within_own_rates_mean,0.7117,route_modes_transfer.json,
router transfer,y_wrong_fix: cross_own_rates_mean,0.7324,route_modes_transfer.json,
router transfer,y_wrong_fix: cross_own_rates_min,0.6817,route_modes_transfer.json,
router transfer,y_wrong_fix: cross_position_mean,0.5993,route_modes_transfer.json,
router transfer,y_wrong_fix: cross_agentstop_mean,0.596,route_modes_transfer.json,
router transfer,y_wrong_fix: own_minus_position,0.1331,route_modes_transfer.json,
