run_id,corpus,task,agent,model,reward,n_steps,t,w,relpos,frac_done,rep_exact_frac,rep_exact_frac_s,rep_exact_frac_o,rep_exact_maxrep,rep_exact_maxrep_s,rep_exact_maxrep_o,rep_family_frac,rep_family_frac_s,rep_family_frac_o,rep_cycle,rep_cycle_s,rep_cycle_o,rep_recurrence,rep_recurrence_s,rep_recurrence_o,mix_edit_frac,mix_edit_frac_s,mix_edit_frac_o,mix_test_frac,mix_test_frac_s,mix_test_frac_o,mix_read_frac,mix_read_frac_s,mix_read_frac_o,mix_n_edit,mix_n_edit_s,mix_n_edit_o,mix_n_test,mix_n_test_s,mix_n_test_o,mix_total_actions,mix_total_actions_s,mix_total_actions_o,mix_distinct_verbs,mix_distinct_verbs_s,mix_distinct_verbs_o,nov_new_total,nov_new_total_s,nov_new_total_o,nov_new_rate,nov_new_rate_s,nov_new_rate_o,nov_new_file_rate,nov_new_file_rate_s,nov_new_file_rate_o,nov_new_symbol_rate,nov_new_symbol_rate_s,nov_new_symbol_rate_o,nov_new_exc_rate,nov_new_exc_rate_s,nov_new_exc_rate_o,nov_new_testid_rate,nov_new_testid_rate_s,nov_new_testid_rate_o,nov_new_chars_rate,nov_new_chars_rate_s,nov_new_chars_rate_o,nov_distinct_state_sig,nov_distinct_state_sig_s,nov_distinct_state_sig_o,nov_distinct_family,nov_distinct_family_s,nov_distinct_family_o,nov_state_sig_change,nov_state_sig_change_s,nov_state_sig_change_o,nov_obs_chars,nov_obs_chars_s,nov_obs_chars_o,nov_text_chars,nov_text_chars_s,nov_text_chars_o,ws_known_frac,ws_known_frac_s,ws_known_frac_o,ws_n_size_deltas,ws_n_size_deltas_s,ws_n_size_deltas_o,ws_abs_size_delta,ws_abs_size_delta_s,ws_abs_size_delta_o,ws_net_size_delta,ws_net_size_delta_s,ws_net_size_delta_o,ws_size_flat_frac,ws_size_flat_frac_s,ws_size_flat_frac_o,ws_growth_frac,ws_growth_frac_s,ws_growth_frac_o,ws_shrink_frac,ws_shrink_frac_s,ws_shrink_frac_o,ws_oscillation,ws_oscillation_s,ws_oscillation_o,ws_n_edit_measurable,ws_n_edit_measurable_s,ws_n_edit_measurable_o,ws_noop_edit_frac,ws_noop_edit_frac_s,ws_noop_edit_frac_o,ws_distinct_files,ws_distinct_files_s,ws_distinct_files_o,ws_same_file_frac,ws_same_file_frac_s,ws_same_file_frac_o,ver_n_test_obs,ver_n_test_obs_s,ver_n_test_obs_o,ver_err_rate,ver_err_rate_s,ver_err_rate_o,ver_n_syntax,ver_n_syntax_s,ver_n_syntax_o,ver_n_traceback,ver_n_traceback_s,ver_n_traceback_o,ver_n_notfound,ver_n_notfound_s,ver_n_notfound_o,ver_n_test_counts,ver_n_test_counts_s,ver_n_test_counts_o,ver_improve_rate,ver_improve_rate_s,ver_improve_rate_o,ver_stall_len,ver_stall_len_s,ver_stall_len_o,ws_stall_len,ws_stall_len_s,ws_stall_len_o,nov_stall_len,nov_stall_len_s,nov_stall_len_o,_elapsed,_elapsed_s,_elapsed_o,y_forward_fail,y_reward,y_nochange,y_stagnation,y_waste,y_waste_n,y_loop,y_edit_frac,y_ws_measurable_frac,f_y_nochange,f_y_stagnation,f_y_waste,f_y_waste_n,f_y_loop,f_y_edit_frac,f_y_ws_measurable_frac,f_y_forward_fail,f_y_reward,y_future_stagnation,y_future_loop,y_future_waste,gold,binary,task_g,kind,n_reads,mech_stagnant,agree
build-pov-ray__oboi8x8,tb2,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,1,33,24,10,0.96,0.96,0.1,0.05,0.008333333333333318,2.0,0.5,0.08333333333333326,0.4,-0.05892857142857133,0.03095238095238073,0.125,0.0625,0.010416666666666671,0.0,-0.0125,-0.03333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1375,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.125,-1.25,4.0,1.0,-1.0,4.0,0.75,-1.0,0.4,0.032142857142857195,-0.04642857142857154,0.4,0.21250000000000002,0.008333333333333248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,4.719642857142857,-0.47976190476190617,0.4,-0.021428571428571408,0.23928571428571443,0.6,0.05892857142857144,-0.030952380952380953,0.6666666666666666,0.06944444444444431,0.3611111111111114,146.7,-149.90892857142853,61.16428571428571,83.8,5.95446428571428,7.1261904761905015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07500000000000001,0.024999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,-0.8333333333333333,24.0,10.5,0.0,0.0,-0.375,0.25,25.0,10.5,0.0,0.0,1.0,0.0,0.0,,0.0,0.1,0.0,0.0,,,,,,,,,,,,,PRODUCTIVE,0.0,build-pov-ray,dense,1,0,1
cobol-modernization__z8rbv6p,tb2,cobol-modernization,deepagent-harbor,gpt-5.2-codex@openai,1,77,39,10,0.975,0.975,0.0,0.0,0.0,1.0,0.0,0.0,0.2,-0.04560439560439558,-0.038540031397174324,0.0,0.0,0.0,0.2,0.16923076923076924,0.10000000000000002,0.2,0.015384615384615358,-0.14945054945054942,0.0,0.0,0.0,0.0,-0.15164835164835166,0.13375196232339087,2.0,0.15384615384615374,-1.4945054945054945,0.0,0.0,0.0,10.0,-0.23076923076922995,0.0659340659340657,2.0,-0.8461538461538463,0.4395604395604398,3.0,-0.9230769230769229,0.197802197802198,0.3,-0.19450549450549454,0.17613814756671892,0.3,0.019230769230769162,0.20054945054945061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,2.4747252747252757,6.181632653061223,0.2,-0.0752747252747254,0.09427001569858728,0.8,0.045604395604395664,0.038540031397174324,0.4444444444444444,-0.07264957264957272,-0.18070818070818062,51.3,-49.339560439560444,30.393563579277796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07197802197802197,0.07072213500784932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5384615384615384,0.4505494505494505,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7692307692307692,1.7032967032967035,39.0,18.0,0.0,0.0,-0.46153846153846156,-0.49450549450549447,40.0,18.0,0.0,0.0,1.0,0.30000000000000004,0.30000000000000004,,0.0,0.2,0.2,0.0,0.9,0.9,,0.0,0.7,0.0,0.0,0.0,1.0,0.9,0.7,,PRODUCTIVE,0.0,cobol-modernization,dense2,1,0,1
compile-compcert__qeLnFSj,tb2,compile-compcert,codex,gpt-5@openai,0,68,60,10,0.9836065573770492,0.9836065573770492,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.009642857142857175,-0.015918367346938633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4499999999999993,-0.7285714285714295,1.0,0.0,0.0,0.0,-2.1,-0.8428571428571425,0.0,-0.24,-0.037142857142857144,0.0,-0.22749999999999998,-0.05857142857142861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.159999999999999,-0.34857142857143053,0.2,-0.049285714285714266,-0.01816326530612239,0.1,-0.009642857142857175,0.015918367346938814,0.4444444444444444,0.027777777777777735,0.057142857142856884,73.0,-72.59107142857141,-28.476326530612326,0.0,-3.8935714285714282,5.9008163265306095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.04392857142857143,0.039183673469387725,2.0,1.75,1.1285714285714286,0.0,0.0,0.0,0.0,-1.85,-0.41428571428571415,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,0.8714285714285714,60.0,28.5,0.0,6.0,4.75,3.5142857142857142,61.0,28.5,0.0,1.0,0.0,0.5,0.5,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,STAGNANT,1.0,compile-compcert,position,1,0,0
crack-7z-hash__Mp364LH,tb2,crack-7z-hash,mini-swe-agent,gemini-2.5-flash@gemini,0,352,27,10,0.9642857142857143,0.9642857142857143,0.0,-0.08809523809523809,0.04047619047619047,1.0,-0.5555555555555556,0.11111111111111094,0.4,-0.042063492063492025,-0.11634920634920642,0.0,-0.06984126984126984,-0.0012698412698413097,0.0,-0.022222222222222223,-0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2333333333333333,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,-1.200000000000001,4.0,1.4444444444444446,0.37777777777777777,2.0,-0.44444444444444464,-0.7111111111111112,0.2,-0.10873015873015879,0.010317460317460475,0.1,-0.042857142857142844,-0.11238095238095244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.672222222222222,-2.512222222222222,0.6,0.031746031746031744,0.18126984126984108,0.6,0.042063492063492136,0.11634920634920626,1.0,0.11111111111111116,0.13333333333333341,208.3,-27.282539682539692,-60.033968253968226,569.6,202.2793650793651,-10.523492063491972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.09920634920634924,-0.13063492063492058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.26666666666666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1111111111111111,-0.04444444444444445,27.0,12.0,0.0,0.0,-0.8888888888888888,-0.5555555555555557,28.0,12.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,,0.0,0.1,0.0,0.0,1.0,0.0,0.19999999999999996,0.1,,STAGNANT,1.0,crack-7z-hash,dense,1,0,0
extract-moves-from-video__vRcGj7U,tb2,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,102,45,10,0.9782608695652174,0.9782608695652174,0.6,0.13380952380952377,-0.03351190476190469,7.0,1.4666666666666668,-0.5333333333333332,0.8,0.2404761904761905,0.015654761904761783,0.6666666666666666,0.2742063492063491,-0.02966269841269853,0.7,0.19999999999999996,-0.11499999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.8000000000000007,0.47499999999999964,1.0,0.0,0.0,0.0,-1.2,-0.30000000000000027,0.0,-0.16142857142857145,0.033035714285714335,0.0,-0.04285714285714285,-0.043928571428571414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,-0.6737500000000001,0.2,0.0471428571428571,0.07232142857142868,0.2,-0.2404761904761905,-0.015654761904761783,0.2222222222222222,0.15555555555555556,0.1416666666666667,70.0,-56.27523809523808,-60.57595238095243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.060000000000000005,0.052499999999999984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.525,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.7333333333333325,-13.183333333333334,45.0,21.0,0.0,3.0,-0.5333333333333332,-2.083333333333333,46.0,21.0,0.0,1.0,0.0,0.8,0.8,,0.0,0.7,0.0,0.0,1.0,1.0,,0.0,0.8,0.0,0.0,1.0,0.0,1.0,0.8,,STAGNANT,1.0,extract-moves-from-video,dense,1,1,1
feal-linear-cryptanalysis__L3Ts8kn,tb2,feal-linear-cryptanalysis,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,0,400,12,10,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.021428571428571352,-0.08142857142857174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.09642857142857153,-0.0514285714285716,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.25,-0.9000000000000004,3.0,0.75,0.2999999999999998,1.0,-2.75,-0.5,0.1,-0.5267857142857143,0.0742857142857142,0.0,-0.3910714285714286,0.03857142857142848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-3.4785714285714286,0.25857142857142745,0.1,-0.04821428571428571,0.02571428571428569,0.3,-0.021428571428571463,0.08142857142857149,0.0,0.0,0.0,1284.1,-153.83214285714303,-26.49285714285702,484.4,-50.27857142857147,2.508571428571372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.5,0.0,12.0,4.5,0.0,1.0,0.5,-0.10000000000000009,13.0,4.5,0.0,1.0,0.0,0.30000000000000004,0.30000000000000004,,0.0,0.0,0.0,0.0,0.4,0.4,,0.0,0.4,0.0,0.0,1.0,0.0,0.4,0.4,,STAGNANT,1.0,feal-linear-cryptanalysis,dense,1,0,0
feal-linear-cryptanalysis__jbbLGgC,tb2,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,110,27,10,0.9642857142857143,0.9642857142857143,0.6,0.1682539682539682,-0.1212698412698413,4.0,1.0,-0.40000000000000036,0.9,0.07619047619047603,-0.08095238095238078,0.6666666666666666,0.3055555555555556,0.03174603174603152,1.0,0.7333333333333333,0.30666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.3333333333333339,-0.13333333333333286,1.0,-0.33333333333333326,0.26666666666666683,0.0,-1.2222222222222223,1.6444444444444448,0.0,-0.29365079365079366,0.4015873015873015,0.0,-0.21031746031746032,0.2849206349206348,0.0,0.0,0.0,0.0,-0.027777777777777776,0.03888888888888889,0.0,0.0,0.0,0.0,-2.7023809523809526,3.745238095238097,0.1,-0.07619047619047625,0.08095238095238097,0.1,-0.07619047619047625,0.08095238095238097,0.0,-0.06790123456790124,0.06913580246913581,387.2,-316.8404761904763,296.9290476190476,428.4,3.3349206349206497,70.85873015873005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05476190476190476,0.05380952380952381,0.0,0.0,0.0,0.0,-0.3333333333333333,0.26666666666666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,0.0,27.0,12.0,0.0,23.0,11.666666666666666,0.46666666666666856,28.0,12.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,STAGNANT,1.0,feal-linear-cryptanalysis,dense2,2,1,1
financial-document-processor__ygK3UcB,tb2,financial-document-processor,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,290,57,10,0.9827586206896551,0.9827586206896551,0.7,0.049248120300752096,0.04710526315789432,4.0,-0.1578947368421053,-0.09473684210526301,0.8,0.09135338345864674,0.08289473684210491,0.5,0.06992481203007522,-0.011804511278195373,0.0,-0.21052631578947367,-0.25157894736842124,0.2,0.08045112781954887,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2105263157894737,2.5368421052631573,0.0,0.0,0.0,10.0,2.2631578947368425,0.28947368421052566,1.0,-1.4210526315789473,-1.7526315789473683,0.0,-1.1578947368421053,0.04210526315789487,0.0,-0.1518796992481203,0.0642105263157895,0.0,-0.06315789473684211,0.03157894736842107,0.0,0.0,0.0,0.0,-0.010526315789473684,-0.007368421052631578,0.0,0.0,0.0,0.0,-1.2439849624060153,0.10657894736842133,0.1,-0.07857142857142863,-0.06763157894736829,0.2,-0.09135338345864663,-0.08289473684210513,0.0,-0.1403508771929825,-0.1824561403508771,155.6,-123.12969924812032,-168.67342105263165,65.6,0.15639097744362118,-13.186842105263182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10526315789473684,-0.15578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0526315789473684,-1.5578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.052631578947368,7.231578947368421,57.0,27.0,0.0,16.0,11.578947368421051,5.957894736842105,58.0,27.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.7,0.2,0.0,0.8,0.8,,0.0,0.9,0.6,0.0,1.0,0.0,0.8,0.9,,STAGNANT,1.0,financial-document-processor,position,1,1,1
git-leak-recovery__3MYVn6Q,tb2,git-leak-recovery,openhands,gemini-2.5-flash@gemini,1,45,39,10,0.975,0.975,0.5,0.028571428571428525,0.016797488226059587,2.0,-0.3076923076923075,-0.6373626373626373,0.8,0.17912087912087915,0.0722135007849295,0.0,-0.05128205128205128,-0.1062271062271062,0.0,-0.05384615384615385,-0.09670329670329669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.6923076923076916,-0.989010989010989,2.0,-0.23076923076923084,-0.9230769230769234,0.0,-1.6153846153846154,-0.3296703296703294,0.0,-0.21758241758241764,0.05086342229199381,0.0,-0.12197802197802199,-0.005651491365777056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.741208791208791,-1.1435635792778651,0.1,-0.0532967032967033,-7.84929356358599e-05,0.2,-0.17912087912087915,-0.07221350078492933,0.0,-0.15384615384615385,-0.07692307692307682,81.1,-4.332417582417577,53.902433281004676,94.7,18.19890109890109,-3.599843014128666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307691,-0.040659340659340695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7692307692307693,-0.4065934065934066,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.923076923076923,4.296703296703296,39.0,18.0,0.0,7.0,5.076923076923077,3.1648351648351647,40.0,18.0,0.0,0.0,1.0,0.8,0.8,,0.0,0.5,0.0,0.0,,,,,,,,,,,,,PRODUCTIVE,0.0,git-leak-recovery,dense,1,1,0
install-windows-3.11__2UtJ22k,tb2,install-windows-3.11,judy,claude-opus-4.6@anthropic,0,34,9,10,0.9,0.9,0.6,0.1738095238095238,-0.0011904761904762973,6.0,2.3333333333333335,0.33333333333333304,0.6,0.1738095238095238,-0.0011904761904762973,0.25,0.16666666666666669,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.5,0.0,-0.46428571428571425,0.1607142857142858,0.0,-0.16666666666666666,0.08333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7976190476190474,3.3273809523809526,0.3,-0.1928571428571429,0.032142857142857195,0.4,-0.17380952380952386,0.0011904761904763528,0.6666666666666666,0.0,0.0,548.2,-208.48571428571427,8.414285714285597,75.4,8.647619047619045,-5.5523809523809575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.06428571428571428,0.010714285714285732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.16666666666666663,9.0,3.0,0.0,5.0,2.6666666666666665,0.16666666666666696,10.0,3.0,0.0,1.0,0.0,0.19999999999999996,0.19999999999999996,,0.0,0.6,0.0,0.0,0.4,0.4,,0.0,0.7,0.0,0.0,1.0,0.0,0.4,0.7,,PRODUCTIVE,0.0,install-windows-3.11,dense,1,0,1
