card_id,corpus,traj_id,task,agent,model,reward,n_steps,t,w,kind,placeholder_frac,max_msg_repeat_frac
tb2_chess-best-move__BjEPAPq_15,tb2,chess-best-move__BjEPAPq,chess-best-move,judy,claude-opus-4.6@anthropic,0,34,15,10,position,0.029,0.048
tb2_chess-best-move__BjEPAPq_21,tb2,chess-best-move__BjEPAPq,chess-best-move,judy,claude-opus-4.6@anthropic,0,34,21,10,position,0.029,0.048
tb2_chess-best-move__BjEPAPq_27,tb2,chess-best-move__BjEPAPq,chess-best-move,judy,claude-opus-4.6@anthropic,0,34,27,10,position,0.029,0.048
tb2_chess-best-move__BjEPAPq_29,tb2,chess-best-move__BjEPAPq,chess-best-move,judy,claude-opus-4.6@anthropic,0,34,29,10,position,0.029,0.048
tb2_install-windows-3.11__2UtJ22k_19,tb2,install-windows-3.11__2UtJ22k,install-windows-3.11,judy,claude-opus-4.6@anthropic,0,44,19,10,position,0.023,0.031
tb2_install-windows-3.11__2UtJ22k_24,tb2,install-windows-3.11__2UtJ22k,install-windows-3.11,judy,claude-opus-4.6@anthropic,0,44,24,10,position,0.023,0.031
tb2_install-windows-3.11__2UtJ22k_33,tb2,install-windows-3.11__2UtJ22k,install-windows-3.11,judy,claude-opus-4.6@anthropic,0,44,33,10,position,0.023,0.031
tb2_install-windows-3.11__2UtJ22k_40,tb2,install-windows-3.11__2UtJ22k,install-windows-3.11,judy,claude-opus-4.6@anthropic,0,44,40,10,position,0.023,0.031
tb2_db-wal-recovery__rwGVtyu_16,tb2,db-wal-recovery__rwGVtyu,db-wal-recovery,terminus-3-3,gemini-3.1-pro-preview@Google,0,45,16,10,position,0.2,0.333
tb2_db-wal-recovery__rwGVtyu_27,tb2,db-wal-recovery__rwGVtyu,db-wal-recovery,terminus-3-3,gemini-3.1-pro-preview@Google,0,45,27,10,position,0.2,0.333
tb2_db-wal-recovery__rwGVtyu_32,tb2,db-wal-recovery__rwGVtyu,db-wal-recovery,terminus-3-3,gemini-3.1-pro-preview@Google,0,45,32,10,position,0.2,0.333
tb2_db-wal-recovery__rwGVtyu_37,tb2,db-wal-recovery__rwGVtyu,db-wal-recovery,terminus-3-3,gemini-3.1-pro-preview@Google,0,45,37,10,position,0.2,0.333
tb2_configure-git-webserver__Noh5oyF_15,tb2,configure-git-webserver__Noh5oyF,configure-git-webserver,deepagent-harbor,gpt-5.2-codex@openai,0,45,15,10,position,0.067,0.333
tb2_configure-git-webserver__Noh5oyF_25,tb2,configure-git-webserver__Noh5oyF,configure-git-webserver,deepagent-harbor,gpt-5.2-codex@openai,0,45,25,10,position,0.067,0.333
tb2_configure-git-webserver__Noh5oyF_32,tb2,configure-git-webserver__Noh5oyF,configure-git-webserver,deepagent-harbor,gpt-5.2-codex@openai,0,45,32,10,position,0.067,0.333
tb2_configure-git-webserver__Noh5oyF_39,tb2,configure-git-webserver__Noh5oyF,configure-git-webserver,deepagent-harbor,gpt-5.2-codex@openai,0,45,39,10,position,0.067,0.333
tb2_configure-git-webserver__KfqGfWa_16,tb2,configure-git-webserver__KfqGfWa,configure-git-webserver,judy,claude-opus-4.6@anthropic,0,50,16,10,position,0.0,0.026
