card_id,label3,confidence3,boundary3,channels3,detail3,justification3
tb2_adaptive-rejection-sampler__sNuF5zZ_70,PRODUCTIVE,medium,false,I,,"Steps 63-66 replace placeholder hull sampling with real numeric differentiation in ars.R; the code durably advances although step 68 still exits -1."
tb2_bn-fit-modify__MXHjNK8_53,PRODUCTIVE,high,false,E/V,,"Step 47 diagnosed the stale weights argument, step 49 revealed a sed-induced IndentationError and step 52 surfaced a new NameError, past the former TypeError blocker."
tb2_chess-best-move__BjEPAPq_15,PRODUCTIVE,high,false,E/I/V,,"Steps 11-14 found the missing white king, corrected the FEN and verified e2e4 checkmate; step 15 wrote e2e4 to /app/move.txt."
tb2_cobol-modernization__D37VA7b_56,PRODUCTIVE,medium,false,E/I,,"Step 50 identified the 15-byte versus 22-byte INPUT.DAT record padding and step 54 showed COBOL and Python now fail identically; step 56 edited program.py."
tb2_cobol-modernization__wX7wSXK_67,PRODUCTIVE,medium,true,E/I,,"Step 59 located the golden COBOL outputs in /tmp/cobol_output_success and step 62 zero-padded balances in program.py, but step 66 still prints validation errors."
tb2_compile-compcert__qeLnFSj_32,PRODUCTIVE,medium,false,E,,"Steps 23-30 diagnosed the menhirLib location and traced the missing driver/Driver.cmx, turning a bare modorder failure into a concrete dependency diagnosis."
tb2_configure-git-webserver__KfqGfWa_26,DONE_REDUNDANT,medium,false,V,,"Full clone-commit-push plus curl returned hello world at step 24, then steps 25-26 kept re-cleaning and re-initializing the already-verified server."
tb2_configure-git-webserver__Noh5oyF_39,DONE_REDUNDANT,high,false,V,,"Curl returned hello world at steps 27 and 34 during the window; steps 30-38 only tear down, rebuild and re-verify the same working pipeline."
tb2_db-wal-recovery__6nzz2fq_20,PRODUCTIVE,high,false,E,,"Steps 15-20 established that main.db-wal is absent while main.db holds only five records, and extracted the items schema, narrowing the recovery problem."
tb2_db-wal-recovery__mUwQ8nv_54,STAGNANT,medium,false,none,no_tool_text_loop,"Steps 45-54 repeat the same analysis that main.db-wal is missing and nothing new is possible; step 47's ls returns identical output."
tb2_db-wal-recovery__urEH2nP_14_ctrlSTAG,PRODUCTIVE,high,false,E/V,,"Steps 6-12 confirmed the schema, integrity check ok and an ineffective checkpoint, and step 14 verified only five base rows are visible."
tb2_dna-assembly__b5N2XyK_22,PRODUCTIVE,medium,true,E,,"Steps 15-22 iteratively localise the egfp insertion and the mismatch offsets, producing new overlap evidence that step 23 resumes with index 1008."
