card_id,label4b,confidence4b,channels4b,detail4b,justification4b
tb2_adaptive-rejection-sampler__sNuF5zZ_79,STAGNANT,high,repeat_verify,repeat_verify,"Edits at 70 and 72 fail on old_str; 76 reruns Rscript with the same exit -1 as step 68; no durable change."
tb2_bn-fit-modify__MXHjNK8_78,PRODUCTIVE,medium,V/E,,"72 reports the error moved past the BayesianModelSampling blocker to missing topological_sort; 73-77 fix and rerun."
tb2_chess-best-move__BjEPAPq_21,PRODUCTIVE,high,I/V,,"12-14 validate the position and the checkmate; 15 writes /app/move.txt; 16 cat confirms e2e4."
tb2_cobol-modernization__D37VA7b_74,PRODUCTIVE,high,V,,"67-72 diffs show ACCOUNTS, BOOKS and TRANSACTIONS .DAT identical to COBOL output; 73-74 start a new input case."
tb2_compile-compcert__DkH2JMz_20,PRODUCTIVE,medium,E,,"13-20 rule out the compcert.org release URL: the download is a 404 HTML page and tar fails; 23 tries GitHub instead."
tb2_compile-compcert__qeLnFSj_48_ctrlPROD,PRODUCTIVE,medium,E/I,,"38-45 show ccomp missing and opam option errors; 48 initialises the coq-released repo in the switch, advancing dependency setup."
tb2_configure-git-webserver__KfqGfWa_34,DONE_REDUNDANT,high,none,,"24 already verified push plus curl hello world; 25-28 only cleanup, 29-34 only report, no new goal."
tb2_custom-memory-heap-crash__dE3EWmb_145,PRODUCTIVE,medium,E/I,,"136 rules out the destructor override; 137 edits user.cpp; 143-145 find operator delete absent and destructor empty in the binary."
tb2_db-wal-recovery__6nzz2fq_46,STAGNANT,medium,irrelevant_exploration,irrelevant_exploration,"37-46 probe /tmp, /app/logs and the harness installer; greps at 45-46 only resurface the five base records."
tb2_db-wal-recovery__rwGVtyu_16,STAGNANT,medium,irrelevant_exploration,irrelevant_exploration,"7-16 hunt docker overlay layers and /dev/md1 for the WAL; 12 reconfirms COUNT(*)=5; repeated finds return nothing new."
tb2_db-wal-recovery__urEH2nP_17,PRODUCTIVE,medium,E,,"8-14 reveal the five records, integrity ok and checkpoint 0|0|0; 16 shows main.db-wal is absent, reframing recovery."
tb2_dna-assembly__b5N2XyK_37,PRODUCTIVE,high,E,,"28-37 compute fragment lengths, alignment offsets and junction contexts, new sequence facts needed for primer design."
tb2_dna-assembly__o5NzHz7_45,PRODUCTIVE,medium,E/V,,"41 in-silico PCR gives cut positions and fragment ends for the designed primers; 42-44 repeat failing which lookups."
tb2_extract-moves-from-video__vRcGj7U_18,PRODUCTIVE,high,E/I,,"13-14 relaunch extraction writing raw_commands.txt; 15-18 process frames and yield real commands like n and get all_."
tb2_feal-linear-cryptanalysis__923TJt4_52,STAGNANT,medium,repeat_verify,repeat_verify,"43 starts a background attack; 44-52 five polls all report status running with unchanged output; no edit or verification movement."
tb2_financial-document-processor__w7XM5qk_114,PRODUCTIVE,high,I/V,,"106-113 script edits fill the missing total for ivE2mt3HwvEO.jpg (819.06) and correct lxtL9XrYRsVG.jpg to 797.91."
tb2_financial-document-processor__yFUb7zw_48,PRODUCTIVE,high,I/V,,"42 extraction improves from Total 0 to 4031.0, 896.0 and 440.0 after script edits; 43-47 diagnose the JPG format."
tb2_fix-code-vulnerability__uLGMMUD_124,STAGNANT,medium,no_new_information,no_new_information,"115-123 only restate intent, rebuild an empty todo list and reread bottle.py already read at 112-113; no change or verification."
tb2_fix-ocaml-gc__EE2S8BX_64,PRODUCTIVE,low,E/I,,"55-59 apply edits to shared_heap.c after the revert; 60 rebuilds and 61 reports the new free(): invalid size failure signature."
tb2_headless-terminal__jL4JdXw_26,STAGNANT,medium,no_tool_text_loop,no_tool_text_loop,"Text-only turns at 17, 21 and 23 need continue nudges; 19 rereads its own file; 25-26 edit fails."
tb2_install-windows-3.11__2UtJ22k_33,DONE_REDUNDANT,high,V,,"24 confirms the Windows desktop and nginx HTTP 200, completing the task; 26-33 only report and re-verify that state."
tb2_install-windows-3.11__S59DCLX_52,STAGNANT,high,repeat_verify,repeat_verify,"43-52 repeat the same stuck-terminal analysis and c-c/pgrep checks, returning identical Slirp output; nothing new learned."
tb2_install-windows-3.11__mUYmJ4a_21,PRODUCTIVE,medium,E/I,,"13-14 create and chmod start_win311_vm.sh; 15 identifies the disk image; 18-21 map nginx config for the port 80 interface."
tb2_kv-store-grpc__FzjoxkQ_69,PRODUCTIVE,high,I/V,,"62 creates test_client.py; 64 shows SetVal then GetVal returning 42 and missing key 0, verifying the RPC server."
tb2_llm-inference-batching-scheduler__ubwAnFp_39,PRODUCTIVE,low,I,,"30 and 38 rerun the script that writes plan_b1.jsonl and plan_b2.jsonl, updating the required deliverables."
tb2_mailman__7MqVPwC_93,PRODUCTIVE,medium,V/I,,"84-90 add the postfix_lmtp transport and rebuild maps; the eval.py error moves from SMTPRecipientsRefused to User unknown."
tb2_make-doom-for-mips__7QckTNB_48,PRODUCTIVE,medium,I/E,,"39 patch mismatch and 42-43 show no binary yet; 47-48 durably patch my_stdlib.c and the Makefile."
tb2_make-doom-for-mips__s3rm6vN_55,PRODUCTIVE,high,E/V,,"46-49 the binary links and runs, failing at PC 0x4073e0; 50-55 show the opcode is 0x8f not 0x33 and the ELF is big-endian."
tb2_make-doom-for-mips__tHguAnp_64,PRODUCTIVE,high,E/I/V,,"57-58 fix macro conflicts so all files compile; 60 lists six missing symbols; 63-64 add stubs in mylibc_support.c."
